City,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Total score
Budapest,0.10309278350515463,0.03166838311019567,0.029975020815986686,0.6975308641975309,0.044871573901529516,0.07091182338141037,0.2353975707022566
Lima,0.27061855670103085,0.025489186405767254,0.1723563696919234,0.5925925925925926,0.13460863852316574,0.06551310720480144,0.23708037562042356
Lodz,0.21907216494845358,0.03810504634397528,0.08409658617818487,0.6851851851851851,0.043934763962422164,0.07104691190057486,0.23801199921130475
Tirana,0.06443298969072164,0.016864057672502576,0.08867610324729391,0.7407407407407408,0.06195923051810456,0.03982216561369991,0.24104549473223535
Santo Domingo,0.05154639175257733,0.01879505664263646,0.11948376353039135,0.5802469135802469,0.06423028491594057,0.10519053511939655,0.24176924881912176
Tehran,0.3505154639175257,0.010427394438722967,1.0,0.1851851851851852,0.17437845093812795,0.06551310720480144,0.24756851509262995
Vilnius,0.16237113402061853,0.03385684860968075,0.09616985845129061,0.691358024691358,0.07565449962791206,0.0812002614927764,0.25298004350309905
Santiago,0.26804123711340205,0.04544284243048404,0.08243130724396339,0.6296296296296297,0.08656772710037047,0.11949785667590576,0.25727284136136325
Pretoria,0.11855670103092784,0.023429454170957775,0.046627810158201506,0.4753086419753087,0.05213692024746382,0.2006836443987717,0.25881649369227333
Shanghai,0.6082474226804123,0.0856076210092688,0.26353039134054956,0.4814814814814815,0.28645701319847594,0.11374453313649009,0.2612055145502283
Sao Paulo,0.18041237113402062,0.06037590113285273,0.24979184013322236,0.5000000000000001,0.2227559650663168,0.1277503178198643,0.26837371114436437
Beijing,0.5257731958762886,0.0856076210092688,0.34263114071607,0.4876543209876544,0.29717760659254644,0.11565748305965848,0.2765237983724248
Muscat,0.28350515463917525,0.042353244078269826,0.13863447127393838,0.08024691358024692,0.19086792804813013,0.35904839787428566,0.2783725425456615
Rio De Janeiro,0.22164948453608246,0.06037590113285273,0.23605328892589508,0.537037037037037,0.23923733126775526,0.1277503178198643,0.27878901897026054
Curitiba,0.2422680412371134,0.043640576725025755,0.2464612822647794,0.49382716049382724,0.15023633159827482,0.16304460574656915,0.27917376356170065
Taipei,0.29639175257731953,0.05406797116374871,0.2502081598667777,0.43209876543209874,0.13460863852316574,0.19828582318360222,0.280343169986551
Moscow,0.6443298969072164,0.06990216271884656,0.20399666944213157,0.33950617283950624,0.3946991157081938,0.1952897528121329,0.28286513849075773
Zagreb,0.13402061855670105,0.024330587023686925,0.0978351373855121,0.7160493827160493,0.07779983494301072,0.11688775350204926,0.2832561854807336
Montevideo,0.3943298969072164,0.05471163748712668,0.12905911740216489,0.7222222222222222,0.10809610615557126,0.11203662828705346,0.28530008932917694
